Personaje
idPersonaje;descripcion
1281;Emilia Gould
1282;Ernest Gould
1283;Col. Sotillo
1284;Maria Estuard
1285;Elisabeth I dAnglaterra
1286;Herself -Guest
1287;Himself - Narrator
1288;Reportera
1289;Damian Centeno
1290;Muneca Chavez
1291;Luciano
1292;Apartment Building Manager
1293;Pedro El Triste
1294;Yaiza Perdomo
1295;Kruger
1296;Aurelia Perdomo
1297;Asdrubale Perdomo
1298;Customs Inspector
1299;Sebastian
1300;Mr. Perdomo
1301;Valcreuse
1302;Oliana Molls
1303;Betty Apricot
1304;Himself - TVG Host
1305;Himself - Telemadrid Host
1306;Himself - ETB Host
1307;Herself - Canal Sur Host
1308;Canal 9 host
1309;Hosess
1310;Actress
1311;Lourdes
1312;Pancho
1313;Terri
1314;Benilde
1315;Jana
1316;Himself- Host
1317;Doña Adelaida
1318;Colaboradora
1319;Madame Pepita
1320;Petar Grusin
1321;Scherezade
1322;Biscuter
1323;Mauro Dejana
1324;Camarero
1325;Fotógrafo
1326;Las Heras
1327;Chica 1
1328;Secretaria
1329;Charo
1330;Frank OBrien
1331;Kathyna Groetz
1332;Pepe Carvalho
1333;John Cromford
1334;Bromuro
1335;Mar Ruidoms
1336;Policía
1337;Joróvitx
1338;Ministro
1339;Máton Almansa
1340;Madame Liu
1341;Ventura Roses
1342;Salustiano Almansa
1343;Padre Leo Mínguez
1344;Sr. Carli
1345;Secretaria Almansa
1346;Técnico sonido
1347;Lejia
1348;Viuda Minguez
1349;Sra. Carli
1350;Contreras
1351;Cliente Shanghai 2
1352;Enfermera residencia
1353;Especialista
1354;Forense
1355;Rocky
1356;Alfredo Panadero
1357;Avvocato Morandi
1358;Fernando Cassiani
1359;Manfredi
1360;Greganti
1361;Carola
1362;Dario
1363;Pedro Rabal
1364;Camilla Diaz
1365;Secretary at Imperiale
1366;Li Fanti
1367;Totò
1368;Carmelo Zappi
1369;Sosa
1370;Ramon Vicente
1371;Palacín
1372;Moglie Palacín
1373;Hombre del Puente
1374;Comisario Mougin
1375;Inspector del Café
1376;Alexandra
1377;Antonio Jauma
1378;Florence
1379;Brigitte Rhomberg
1380;Pedro Parra
1381;Nathalie Jauma
1382;Conductor Taxi
1383;Dieter Rhomberg
1384;Orador
1385;De la Mazza
1386;Martin Gausachs
1387;Nanny
1388;Toni Mariano
1389;Arquimedes
1390;Mathilde Pelletier
1391;Joaquin Pelletier
1392;Septuagenario
1393;Banquero
